Date,Value
1998-11-30,1000
1998-12-31,1079.629405
1999-01-29,1018.58861
1999-02-26,993.188309
1999-03-31,1037.832744
1999-04-30,1013.80856
1999-05-31,962.414961
1999-06-30,944.795495
1999-07-30,918.420013
1999-08-31,936.179694
1999-09-30,960.714155
1999-10-29,928.903253
1999-11-30,935.749767
1999-12-31,1068.450746
2000-01-31,1010.61296
2000-02-29,1134.659211
2000-03-31,1065.848406
2000-04-28,1007.88297
2000-05-31,1062.995965
2000-06-30,1137.83565
2000-07-31,1096.265864
2000-08-31,1090.405467
2000-09-29,1030.519299
2000-10-31,1047.884992
2000-11-30,1075.040335
2000-12-29,1097.142936
2001-01-31,1117.146057
2001-02-28,1011.214091
2001-03-30,944.744737
2001-04-30,995.387735
2001-05-31,916.235991
2001-06-29,877.356187
2001-07-31,893.962454
2001-08-31,885.772234
2001-09-28,749.369019
2001-10-31,774.654691
2001-11-30,799.164908
2001-12-31,805.481932
2002-01-31,779.773735
2002-02-28,778.156996
2002-03-29,831.377314
2002-04-30,838.079982
2002-05-31,820.043418
2002-06-28,822.971914
2002-07-31,734.31226
2002-08-30,744.867354
2002-09-30,639.574584
2002-10-31,692.935882
2002-11-29,761.010827
2002-12-31,744.162662
2003-01-31,734.73077
2003-02-28,753.568375
2003-03-31,699.057844
2003-04-30,799.655061
2003-05-30,887.273991
2003-06-30,874.303509
2003-07-31,879.627087
2003-08-29,856.698175
2003-09-30,892.371429
2003-10-31,940.406298
2003-11-28,1014.941466
2003-12-31,1054.070101
2004-01-30,1074.71103
2004-02-27,1084.142215
2004-03-31,1040.879713
2004-04-30,1056.002265
2004-05-31,1069.552058
2004-06-30,1110.889566
2004-07-30,1080.167763
2004-08-31,1065.478117
2004-09-30,1125.959862
2004-10-29,1189.393005
2004-11-30,1285.595619
2004-12-31,1384.655591
2005-01-31,1359.16598
2005-02-28,1401.88688
2005-03-31,1398.00881
2005-04-29,1340.905592
2005-05-31,1335.49859
2005-06-30,1348.789946
2005-07-29,1406.232478
2005-08-31,1412.963503
2005-09-30,1445.692943
2005-10-31,1351.98722
2005-11-30,1381.3044
2005-12-30,1437.42543
2006-01-31,1526.779809
2006-02-28,1552.389816
2006-03-31,1589.089244
2006-04-28,1672.835322
2006-05-31,1660.056439
2006-06-30,1667.530947
2006-07-31,1681.032691
2006-08-31,1744.754575
2006-09-29,1744.693109
2006-10-31,1819.118768
2006-11-30,1915.430219
2006-12-29,1958.297361
2007-01-31,1963.674949
2007-02-28,1945.839926
2007-03-30,1989.805848
2007-04-30,2137.566282
2007-05-31,2124.819505
2007-06-29,2088.968828
2007-07-31,2014.27072
2007-08-31,1998.310464
2007-09-28,2052.37098
2007-10-31,2134.663178
2007-11-30,2084.002618
2007-12-31,2050.599967
2008-01-31,1846.83875
2008-02-29,1854.654998
2008-03-31,1822.118733
2008-04-30,1924.557114
2008-05-30,1934.499856
2008-06-30,1721.853527
2008-07-31,1663.338502
2008-08-29,1600.988245
2008-09-30,1357.480814
2008-10-31,1044.264075
2008-11-28,985.153196
2008-12-31,1040.260427
2009-01-30,900.6326
2009-02-27,782.433216
2009-03-31,838.945461
2009-04-30,1007.022059
2009-05-29,1132.382085
2009-06-30,1091.066895
2009-07-31,1178.522412
2009-08-31,1280.430146
2009-09-30,1371.109256
2009-10-30,1307.494951
2009-11-30,1322.817412
2009-12-31,1332.333083
2010-01-29,1228.133331
2010-02-26,1154.986745
2010-03-31,1236.985224
2010-04-30,1158.280129
2010-05-31,991.141947
2010-06-30,982.384387
2010-07-30,1130.06537
2010-08-31,1039.939462
2010-09-30,1172.657463
2010-10-29,1246.267859
2010-11-30,1060.562498
2010-12-31,1155.65394
2011-01-31,1273.785489
2011-02-28,1300.719871
2011-03-31,1294.993823
2011-04-29,1402.33569
2011-05-31,1313.053396
2011-06-30,1262.960247
2011-07-29,1145.907331
2011-08-31,980.371299
2011-09-30,869.686081
2011-10-31,975.484072
2011-11-30,903.768897
2011-12-30,863.803574
2012-01-31,930.872382
2012-02-29,980.158595
