Date,Value
1998-12-31,1421.941929
1999-01-29,1538.934846
1999-02-26,1451.601348
1999-03-31,1512.936216
1999-04-30,1666.166868
1999-05-31,1621.142811
1999-06-30,1690.471396
1999-07-30,1702.129073
1999-08-31,1675.355385
1999-09-30,1725.024983
1999-10-29,1840.692138
1999-11-30,1915.7187
1999-12-31,2195.303311
2000-01-31,2201.180894
2000-02-29,2332.801839
2000-03-31,2543.346918
2000-04-28,2448.963631
2000-05-31,2403.932735
2000-06-30,2708.029592
2000-07-31,2789.215719
2000-08-31,3035.843088
2000-09-29,2730.034123
2000-10-31,2490.484449
2000-11-30,2268.612624
2000-12-29,2319.254039
2001-01-31,2432.939256
2001-02-28,2045.50137
2001-03-30,1858.976337
2001-04-30,1991.653231
2001-05-31,2028.982065
2001-06-29,1952.276247
2001-07-31,1943.583952
2001-08-31,1838.406951
2001-09-28,1667.554602
2001-10-31,1669.882211
2001-11-30,1823.667318
2001-12-31,1853.024231
2002-01-31,1839.669164
2002-02-28,1820.756249
2002-03-29,1886.591846
2002-04-30,1872.031208
2002-05-31,1913.116698
2002-06-28,1805.3028
2002-07-31,1602.596697
2002-08-30,1622.850422
2002-09-30,1492.734907
2002-10-31,1538.213
2002-11-29,1628.530054
2002-12-31,1616.177331
2003-01-31,1661.775154
2003-02-28,1720.461225
2003-03-31,1698.680481
2003-04-30,1806.890729
2003-05-30,1962.051946
2003-06-30,2014.730506
2003-07-31,2021.503118
2003-08-29,2127.623264
2003-09-30,2164.844159
2003-10-31,2311.168497
2003-11-28,2380.492859
2003-12-31,2510.825436
2004-01-30,2537.856362
2004-02-27,2593.579594
2004-03-31,2581.926404
2004-04-30,2367.307128
2004-05-31,2431.263961
2004-06-30,2535.425634
2004-07-30,2538.186849
2004-08-31,2539.791659
2004-09-30,2732.967038
2004-10-29,2905.680353
2004-11-30,3025.252387
2004-12-31,3082.727173
2005-01-31,2960.568362
2005-02-28,3151.40018
2005-03-31,3196.433751
2005-04-29,3023.63043
2005-05-31,3090.857368
2005-06-30,3279.956162
2005-07-29,3460.132435
2005-08-31,3665.634351
2005-09-30,3886.843756
2005-10-31,3606.843483
2005-11-30,3802.61078
2005-12-30,3972.441058
2006-01-31,4321.595037
2006-02-28,4243.663074
2006-03-31,4309.896689
2006-04-28,4520.335279
2006-05-31,4401.32222
2006-06-30,4332.821247
2006-07-31,4346.224548
2006-08-31,4522.473839
2006-09-29,4387.911122
2006-10-31,4598.777707
2006-11-30,4731.95977
2006-12-29,4701.40162
2007-01-31,4689.050324
2007-02-28,4723.753755
2007-03-30,4855.608593
2007-04-30,5150.662041
2007-05-31,5593.020689
2007-06-29,5586.46622
2007-07-31,5573.545883
2007-08-31,5576.62527
2007-09-28,6125.072518
2007-10-31,6700.419082
2007-11-30,5957.727445
2007-12-31,6123.025146
2008-01-31,5734.094215
2008-02-29,6089.878559
2008-03-31,5756.994573
2008-04-30,6165.442826
2008-05-30,6635.270095
2008-06-30,6398.7345
2008-07-31,5954.125942
2008-08-29,5839.005911
2008-09-30,5010.726112
2008-10-31,3660.681499
2008-11-28,3453.987985
2008-12-31,3358.363589
2009-01-30,3241.113356
2009-02-27,2964.08894
2009-03-31,3243.895431
2009-04-30,3696.839004
2009-05-29,4482.900025
2009-06-30,4241.011634
2009-07-31,4751.088296
2009-08-31,4683.546298
2009-09-30,5024.543078
2009-10-30,4767.144497
2009-11-30,5122.28312
2009-12-31,5284.78801
2010-01-29,4895.375236
2010-02-26,5178.392533
2010-03-31,5609.732274
2010-04-30,5692.581622
2010-05-31,5303.150288
2010-06-30,5029.585912
2010-07-30,5391.6223
2010-08-31,5288.657684
2010-09-30,5702.259389
