Date,Value
1998-12-31,3684.829349
1999-01-29,3789.052425
1999-02-26,3537.77529
1999-03-31,3600.336801
1999-04-30,3692.859918
1999-05-31,3618.850379
1999-06-30,3749.637612
1999-07-30,3774.351946
1999-08-31,3908.275669
1999-09-30,3945.282004
1999-10-29,4159.530327
1999-11-30,4293.762359
1999-12-31,4781.56169
2000-01-31,4462.52478
2000-02-29,4859.799681
2000-03-31,4910.273811
2000-04-28,4749.869725
2000-05-31,4892.19449
2000-06-30,5095.875496
2000-07-31,5015.560658
2000-08-31,4891.115511
2000-09-29,4576.670069
2000-10-31,4464.536788
2000-11-30,4254.276042
2000-12-29,4586.859089
2001-01-31,4595.984603
2001-02-28,4081.088283
2001-03-30,3797.307881
2001-04-30,4138.730705
2001-05-31,3878.715001
2001-06-29,3737.323872
2001-07-31,3755.895247
2001-08-31,3627.47823
2001-09-28,3203.474871
2001-10-31,3364.087674
2001-11-30,3463.252436
2001-12-31,3573.616271
2002-01-31,3346.797741
2002-02-28,3375.386257
2002-03-29,3554.38026
2002-04-30,3501.528046
2002-05-31,3520.246552
2002-06-28,3422.829674
2002-07-31,2964.666021
2002-08-30,2917.619559
2002-09-30,2470.169593
2002-10-31,2791.178524
2002-11-29,2909.119789
2002-12-31,2829.057257
2003-01-31,2734.664867
2003-02-28,2600.650712
2003-03-31,2504.302642
2003-04-30,2898.567438
2003-05-30,3112.065132
2003-06-30,3163.249918
2003-07-31,3219.279514
2003-08-29,3242.851066
2003-09-30,3256.711627
2003-10-31,3479.336731
2003-11-28,3658.976882
2003-12-31,3989.923229
2004-01-30,4020.030902
2004-02-27,4122.310523
2004-03-31,3975.914072
2004-04-30,3930.487586
2004-05-31,4057.187774
2004-06-30,4136.507649
2004-07-30,4008.30273
2004-08-31,4001.522511
2004-09-30,4137.532238
2004-10-29,4309.946272
2004-11-30,4568.339578
2004-12-31,4756.829026
2005-01-31,4678.029376
2005-02-28,4909.374991
2005-03-31,4844.706338
2005-04-29,4635.236131
2005-05-31,4748.06992
2005-06-30,4804.505656
2005-07-29,5081.069757
2005-08-31,5095.123991
2005-09-30,5223.612175
2005-10-31,4999.397003
2005-11-30,5085.365152
2005-12-30,5260.692892
2006-01-31,5687.399573
2006-02-28,5624.9852
2006-03-31,5956.974394
2006-04-28,6160.0429
2006-05-31,6072.697287
2006-06-30,6142.762256
2006-07-31,6182.911463
2006-08-31,6386.520662
2006-09-29,6443.653112
2006-10-31,6617.657721
2006-11-30,6880.470629
2006-12-29,7124.20571
2007-01-31,7102.60183
2007-02-28,7106.510836
2007-03-30,7325.65603
2007-04-30,7925.365506
2007-05-31,8128.110065
2007-06-29,8095.06032
2007-07-31,7810.865055
2007-08-31,7666.656424
2007-09-28,8061.72735
2007-10-31,8370.523685
2007-11-30,8238.968616
2007-12-31,8123.606846
2008-01-31,7144.082813
2008-02-29,7262.347828
2008-03-31,7446.223723
2008-04-30,7786.487213
2008-05-30,7992.585248
2008-06-30,7205.555465
2008-07-31,7063.905971
2008-08-29,6817.542947
2008-09-30,5844.851098
2008-10-31,4534.770392
2008-11-28,4286.693267
2008-12-31,4653.668717
2009-01-30,3990.053626
2009-02-27,3611.338005
2009-03-31,3910.930977
2009-04-30,4432.084458
2009-05-29,4996.174742
2009-06-30,4790.1347
2009-07-31,5295.988952
2009-08-31,5716.938662
2009-09-30,6066.772029
2009-10-30,5824.315555
2009-11-30,6055.774615
2009-12-31,6201.51913
2010-01-29,5743.159853
2010-02-26,5611.608251
2010-03-31,5960.417741
2010-04-30,5659.038048
2010-05-31,4942.522865
2010-06-30,4870.797745
2010-07-30,5476.070979
2010-08-31,5144.943416
2010-09-30,5890.152789
2010-10-29,6189.73945
2010-11-30,5518.628392
2010-12-31,6001.033353
2011-01-31,6417.679524
2011-02-28,6641.868258
2011-03-31,6635.669882
2011-04-29,7165.842348
2011-05-31,6936.62964
2011-06-30,6983.975938
2011-07-29,6422.741947
2011-08-31,5733.093797
2011-09-30,4903.613303
2011-10-31,5534.417615
2011-11-30,5205.893425
2011-12-30,5041.046479
