Date,Value
1998-12-31,3449.804462
1999-01-29,3504.560656
1999-02-26,3214.225354
1999-03-31,3125.101242
1999-04-30,3328.856181
1999-05-31,3155.376312
1999-06-30,3332.470713
1999-07-30,3279.023962
1999-08-31,3332.797582
1999-09-30,3284.640658
1999-10-29,3459.171095
1999-11-30,3554.374383
1999-12-31,4160.700045
2000-01-31,4013.098091
2000-02-29,4431.582831
2000-03-31,4357.159751
2000-04-28,3990.6587
2000-05-31,3887.848766
2000-06-30,3879.255372
2000-07-31,3864.874138
2000-08-31,3683.685199
2000-09-29,3487.724601
2000-10-31,3509.723428
2000-11-30,3250.459263
2000-12-29,3523.562353
2001-01-31,3655.03395
2001-02-28,3359.450556
2001-03-30,3008.148126
2001-04-30,3219.864906
2001-05-31,3021.649269
2001-06-29,3005.458167
2001-07-31,3019.37534
2001-08-31,2804.191221
2001-09-28,2348.639483
2001-10-31,2451.924571
2001-11-30,2667.150904
2001-12-31,2748.613933
2002-01-31,2624.340256
2002-02-28,2589.719889
2002-03-29,2797.279868
2002-04-30,2716.873127
2002-05-31,2693.571907
2002-06-28,2614.95127
2002-07-31,2183.23446
2002-08-30,2192.703355
2002-09-30,1658.748588
2002-10-31,1890.655805
2002-11-29,1997.784318
2002-12-31,1844.450433
2003-01-31,1800.706084
2003-02-28,1676.094601
2003-03-31,1612.966153
2003-04-30,1995.119714
2003-05-30,2128.992994
2003-06-30,2239.220151
2003-07-31,2371.82271
2003-08-29,2332.348741
2003-09-30,2315.284873
2003-10-31,2590.941611
2003-11-28,2728.723463
2003-12-31,3039.512363
2004-01-30,3074.306746
2004-02-27,3048.791725
2004-03-31,2904.779405
2004-04-30,2924.403493
2004-05-31,2937.654489
2004-06-30,3024.615097
2004-07-30,2876.191319
2004-08-31,2822.237984
2004-09-30,2971.23824
2004-10-29,3091.941674
2004-11-30,3364.677337
2004-12-31,3545.840169
2005-01-31,3409.199856
2005-02-28,3547.552529
2005-03-31,3467.32617
2005-04-29,3318.308988
2005-05-31,3387.375923
2005-06-30,3419.118152
2005-07-29,3657.739801
2005-08-31,3669.280242
2005-09-30,3752.062558
2005-10-31,3636.166816
2005-11-30,3764.036752
2005-12-30,3918.835282
2006-01-31,4251.878504
2006-02-28,4273.56791
2006-03-31,4461.975196
2006-04-28,4685.853998
2006-05-31,4513.232613
2006-06-30,4470.388474
2006-07-31,4454.985923
2006-08-31,4617.311949
2006-09-29,4686.863438
2006-10-31,4921.63507
2006-11-30,5147.835883
2006-12-29,5360.599218
2007-01-31,5438.544484
2007-02-28,5487.971547
2007-03-30,5728.564324
2007-04-30,6282.585008
2007-05-31,6563.358006
2007-06-29,6687.012919
2007-07-31,6443.444442
2007-08-31,6454.120914
2007-09-28,6933.855929
2007-10-31,7256.571097
2007-11-30,7166.423851
2007-12-31,7286.756592
2008-01-31,6282.202731
2008-02-29,6364.893797
2008-03-31,6434.796709
2008-04-30,6733.627643
2008-05-30,6863.34166
2008-06-30,6318.873312
2008-07-31,6252.645508
2008-08-29,5870.70059
2008-09-30,5019.716218
2008-10-31,3866.746818
2008-11-28,3520.63776
2008-12-31,3971.479019
2009-01-30,3307.326996
2009-02-27,2892.696611
2009-03-31,3199.346927
2009-04-30,3748.857972
2009-05-29,4133.451578
2009-06-30,3991.628837
2009-07-31,4461.800641
2009-08-31,4647.85617
2009-09-30,4919.159587
2009-10-30,4723.373083
2009-11-30,4966.102582
2009-12-31,5026.200092
2010-01-29,4592.467182
2010-02-26,4490.299594
2010-03-31,4896.504444
2010-04-30,4811.345079
2010-05-31,4310.232982
2010-06-30,4301.580576
2010-07-30,4710.040154
2010-08-31,4430.813624
2010-09-30,5018.005715
2010-10-29,5409.813742
2010-11-30,5134.989666
2010-12-31,5494.479763
2011-01-31,5735.088572
2011-02-28,5935.453376
2011-03-31,5910.610037
2011-04-29,6581.840042
2011-05-31,6200.078547
2011-06-30,6323.50275
2011-07-29,6077.490018
2011-08-31,4948.344543
2011-09-30,4363.470949
2011-10-31,5066.17317
2011-11-30,4853.420896
2011-12-30,4535.545247
2012-01-31,5020.185158
2012-02-29,5441.887809
2012-03-30,5490.457831
2012-04-30,5336.045702
2012-05-31,4622.300623
2012-06-29,4846.038766
2012-07-31,4968.237202
2012-08-31,5226.642461
2012-09-28,5521.382924
2012-10-31,5613.171124
2012-11-30,5759.650297
2012-12-31,5991.387393
2013-01-31,6318.302005
2013-02-28,6070.682186
2013-03-29,6007.32963
2013-04-30,6262.441102
2013-05-31,6477.053617
2013-06-28,6212.16043
2013-07-31,6616.049817
2013-08-30,6444.487869
2013-09-30,7003.022264
2013-10-31,7403.060156
2013-11-29,7717.891709
2013-12-31,7932.853838
2014-01-31,7546.498015
2014-02-28,8052.314586
2014-03-31,7911.95064
2014-04-30,7992.440215
2014-05-30,8142.406428
2014-06-30,8090.114982
2014-07-31,7569.16614
2014-08-29,7501.409548
2014-09-30,7186.815607
2014-10-31,7041.360206
2014-11-28,7489.68752
2014-12-31,7158.713907
2015-01-30,7290.431342
2015-02-27,7733.63842
2015-03-31,7757.259083
2015-04-30,7748.066777
2015-05-29,7560.540898
2015-06-30,7363.981051
2015-07-31,7561.906996
2015-08-31,6994.33312
2015-09-30,6562.030627
2015-10-30,7258.975668
2015-11-30,7259.722434
2015-12-31,7067.516406
2016-01-29,6441.736287
2016-02-29,6276.571445
2016-03-31,6896.59486
2016-04-29,6983.331021
2016-05-31,6945.139556
2016-06-30,6553.067221
2016-07-29,7040.393505
2016-08-31,7181.519115
2016-09-30,7209.746515
2016-10-31,7100.4793
2016-11-30,6837.868116
2016-12-30,7314.575534
2017-01-31,7542.929997
2017-02-28,7596.975225
2017-03-31,7938.006272
2017-04-28,8179.810791
2017-05-31,8575.771881
2017-06-30,8487.699071
2017-07-31,8642.564908
2017-08-31,8663.562758
2017-09-29,9144.788768
2017-10-31,9284.838888
2017-11-30,9396.096653
2017-12-29,9398.764108
2018-01-31,9955.979269
2018-02-28,9242.249889
2018-03-30,9068.209089
2018-04-30,9263.102584
2018-05-31,8974.961877
2018-06-29,8763.200633
2018-07-31,9140.17689
2018-08-31,8863.739482
2018-09-28,8713.286872
2018-10-31,7977.567703
2018-11-30,7815.07169
2018-12-31,7364.898228
2019-01-31,7858.779863
2019-02-28,7995.758787
2019-03-29,7880.214796
2019-04-30,8428.705697
2019-05-31,7915.294733
2019-06-28,8497.323939
2019-07-31,8201.341733
2019-08-30,7959.305164
2019-09-30,8154.584476
2019-10-31,8636.993505
2019-11-29,8793.109847
2019-12-31,8961.408748
2020-01-31,8686.43082
2020-02-28,7889.482162
2020-03-31,6546.2218
2020-04-30,7188.772315
2020-05-29,7829.428121
2020-06-30,8323.825681
2020-07-31,8744.271607
2020-08-31,9307.617562
2020-09-30,9023.638735
2020-10-30,8100.140014
2020-11-30,9490.009681
2020-12-31,10063.173855
2021-01-29,9878.725128
2021-02-26,10083.647176
2021-03-31,10496.104354
2021-04-30,10871.067514
2021-05-31,11231.973355
2021-06-30,11037.368
2021-07-30,11050.795768
2021-08-31,11198.252898
2021-09-30,10570.853182
2021-10-29,10798.670032
2021-11-30,10094.12388
2021-12-31,10657.284341
2022-01-31,10263.798354
2022-02-28,9562.333844
2022-03-31,9291.031467
2022-04-29,8537.619042
2022-05-31,8856.490356
2022-06-30,7663.396407
2022-07-29,7843.871443
2022-08-31,7344.132064
2022-09-30,6699.045503
2022-10-31,7325.267803
2022-11-30,8348.490412
2022-12-30,8352.992051
2023-01-31,9389.353181
2023-02-28,9219.48711
2023-03-31,9588.017929
2023-04-28,9923.948536
2023-05-31,9423.402572
2023-06-30,9925.992558
2023-07-31,10230.639447
2023-08-31,9735.714193
2023-09-29,9160.827825
2023-10-31,8753.313828
2023-11-30,9918.59113
2023-12-29,10355.392554
2024-01-31,10256.414791
2024-02-29,10686.07583
2024-03-29,11095.710915
2024-04-30,10696.746603
2024-05-31,11207.788434
2024-06-28,11012.032469
2024-07-31,11223.469392
2024-08-30,11755.359076
2024-09-30,12193.33938
2024-10-31,11642.386861
2024-11-29,11615.316376
2024-12-31,11497.706435
2025-01-31,12572.941391
