Date,Value
1998-12-31,3557.814578
1999-01-29,3581.620912
1999-02-26,3501.324061
1999-03-31,4001.254148
1999-04-30,4166.093639
1999-05-31,3929.261912
1999-06-30,4299.642649
1999-07-30,4726.880108
1999-08-31,4691.869861
1999-09-30,4987.662153
1999-10-29,5199.234179
1999-11-30,5419.890871
1999-12-31,5754.660054
2000-01-31,5503.515879
2000-02-29,5359.241909
2000-03-31,5817.606724
2000-04-28,5377.99362
2000-05-31,5102.097587
2000-06-30,5451.168864
2000-07-31,4821.362172
2000-08-31,5131.560297
2000-09-29,4887.02436
2000-10-31,4601.561678
2000-11-30,4408.425173
2000-12-29,4138.856854
2001-01-31,4089.681993
2001-02-28,3905.828458
2001-03-30,3792.918966
2001-04-30,4050.790255
2001-05-31,4041.107062
2001-06-29,3800.541417
2001-07-31,3517.390636
2001-08-31,3429.43466
2001-09-28,3111.390602
2001-10-31,3104.920497
2001-11-30,3138.577113
2001-12-31,2926.880203
2002-01-31,2697.803243
2002-02-28,2809.884802
2002-03-29,2973.760956
2002-04-30,3146.886147
2002-05-31,3343.083707
2002-06-28,3168.993915
2002-07-31,2948.875531
2002-08-30,2917.643393
2002-09-30,2789.274889
2002-10-31,2595.205912
2002-11-29,2700.473349
2002-12-31,2630.934778
2003-01-31,2524.337046
2003-02-28,2539.221605
2003-03-31,2427.135873
2003-04-30,2408.2108
2003-05-30,2525.231312
2003-06-30,2711.492295
2003-07-31,2821.545041
2003-08-29,3118.912717
2003-09-30,3305.049624
2003-10-31,3456.341236
2003-11-28,3349.681543
2003-12-31,3582.083724
2004-01-30,3646.898049
2004-02-27,3636.243597
2004-03-31,4125.805606
2004-04-30,3902.178499
2004-05-31,3765.293188
2004-06-30,3968.1645
2004-07-30,3732.936587
2004-08-31,3760.01565
2004-09-30,3672.594646
2004-10-29,3768.751707
2004-11-30,3950.689769
2004-12-31,4153.437823
2005-01-31,4056.99179
2005-02-28,4140.647702
2005-03-31,4056.676224
2005-04-29,3952.315336
2005-05-31,3916.356903
2005-06-30,3912.563983
2005-07-29,3951.547254
2005-08-31,4226.517523
2005-09-30,4664.700299
2005-10-31,4608.808772
2005-11-30,4805.56709
2005-12-30,5217.826423
2006-01-31,5480.923795
2006-02-28,5434.522837
2006-03-31,5573.613868
2006-04-28,5735.854577
2006-05-31,5379.218203
2006-06-30,5319.717365
2006-07-31,5290.287468
2006-08-31,5369.727421
2006-09-29,5283.341672
2006-10-31,5375.324081
2006-11-30,5413.509888
2006-12-29,5548.216069
2007-01-31,5595.169299
2007-02-28,5820.319386
2007-03-30,5745.628073
2007-04-30,5633.944862
2007-05-31,5725.975501
2007-06-29,5708.810564
2007-07-31,5699.710794
2007-08-31,5532.341224
2007-09-28,5662.056082
2007-10-31,5640.55515
2007-11-30,5537.238465
2007-12-31,5318.292068
2008-01-31,5075.246898
2008-02-29,5110.310999
2008-03-31,4906.177463
2008-04-30,5262.705211
2008-05-30,5395.226063
2008-06-30,5027.660812
2008-07-31,4856.323898
2008-08-29,4663.193726
2008-09-30,4142.880089
2008-10-31,3530.485587
2008-11-28,3486.456732
2008-12-31,3770.061098
2009-01-30,3513.824501
2009-02-27,3078.834824
2009-03-31,3145.506976
2009-04-30,3448.278156
2009-05-29,3803.644759
2009-06-30,3870.640627
2009-07-31,4036.272975
2009-08-31,4195.17409
2009-09-30,4124.859985
2009-10-30,4021.404471
2009-11-30,3980.136786
2009-12-31,4011.055955
2010-01-29,4087.201712
2010-02-26,4133.048289
2010-03-31,4341.961366
2010-04-30,4335.304914
2010-05-31,3984.733653
2010-06-30,3904.896825
2010-07-30,4044.010959
2010-08-31,3951.722499
2010-09-30,4134.969997
2010-10-29,4219.315998
2010-11-30,4308.060221
2010-12-31,4636.532463
2011-01-31,4642.431808
2011-02-28,4854.245549
2011-03-31,4411.50417
2011-04-29,4427.616941
2011-05-31,4355.606717
2011-06-30,4419.567253
2011-07-29,4576.233425
2011-08-31,4204.378996
2011-09-30,4137.917345
2011-10-31,4127.734398
2011-11-30,3945.686069
2011-12-30,3978.698011
2012-01-31,4158.578097
2012-02-29,4368.571277
2012-03-30,4430.212152
2012-04-30,4288.744667
2012-05-31,3905.998152
2012-06-29,4107.102578
2012-07-31,4009.035012
2012-08-31,3980.036635
2012-09-28,4075.554291
2012-10-31,3999.210876
2012-11-30,4094.192403
2012-12-31,4311.471671
2013-01-31,4469.781334
2013-02-28,4589.064844
2013-03-29,4816.015152
2013-04-30,5238.533113
2013-05-31,4942.00663
2013-06-28,5028.740078
2013-07-31,5059.074878
2013-08-30,4950.325915
2013-09-30,5366.373793
2013-10-31,5366.411564
2013-11-29,5446.443218
2013-12-31,5490.52745
2014-01-31,5278.733378
2014-02-28,5250.681484
2014-03-31,5190.16283
2014-04-30,5056.248433
2014-05-30,5261.521407
2014-06-30,5537.403573
2014-07-31,5569.50726
2014-08-29,5448.806084
2014-09-30,5416.101681
2014-10-31,5345.580908
2014-11-28,5362.192263
2014-12-31,5286.209362
2015-01-30,5409.708809
2015-02-27,5738.252088
2015-03-31,5832.980724
2015-04-30,6039.84566
2015-05-29,6119.128712
2015-06-30,6015.088678
2015-07-31,6043.473068
2015-08-31,5692.458317
2015-09-30,5311.504797
2015-10-30,5847.608846
2015-11-30,5789.54144
2015-12-31,5809.487506
2016-01-29,5331.667973
2016-02-29,5185.764886
2016-03-31,5439.105561
2016-04-29,5692.033584
2016-05-31,5632.768669
2016-06-30,5495.319653
2016-07-29,5851.637863
2016-08-31,5874.32171
2016-09-30,5976.506699
2016-10-31,6055.341831
2016-11-30,5909.310444
2016-12-30,5967.906281
2017-01-31,6189.999634
2017-02-28,6259.571106
2017-03-31,6244.964389
2017-04-28,6310.514076
2017-05-31,6501.025607
2017-06-30,6571.266619
2017-07-31,6704.272142
2017-08-31,6701.16715
2017-09-29,6840.849195
2017-10-31,7156.355659
2017-11-30,7370.641021
2017-12-29,7423.496742
2018-01-31,7763.784377
2018-02-28,7647.3052
2018-03-30,7496.344533
2018-04-30,7546.384216
2018-05-31,7472.965798
2018-06-29,7286.2033
2018-07-31,7315.389207
2018-08-31,7331.990676
2018-09-28,7564.143181
2018-10-31,6924.834714
2018-11-30,6952.556766
2018-12-31,6489.83392
2019-01-31,6885.785616
2019-02-28,6884.003019
2019-03-29,6934.225719
2019-04-30,7030.478078
2019-05-31,6752.486574
2019-06-28,7006.853373
2019-07-31,7016.702751
2019-08-30,6946.023321
2019-09-30,7237.605169
2019-10-31,7588.889364
2019-11-29,7631.640628
