Date,Value
1998-12-31,5598.858756
1999-01-29,5463.882869
1999-02-26,5282.231536
1999-03-31,5219.902353
1999-04-30,5234.174516
1999-05-31,4967.764076
1999-06-30,4909.527602
1999-07-30,5103.309759
1999-08-31,5093.622781
1999-09-30,5077.709145
1999-10-29,5166.452736
1999-11-30,5123.174902
1999-12-31,5228.019914
2000-01-31,4650.086565
2000-02-29,4543.102733
2000-03-31,4911.82627
2000-04-28,4764.673705
2000-05-31,5044.639318
2000-06-30,5251.759355
2000-07-31,5268.4404
2000-08-31,5145.960883
2000-09-29,4858.616221
2000-10-31,4906.909302
2000-11-30,5108.476638
2000-12-29,5575.772942
2001-01-31,5457.70553
2001-02-28,5097.268711
2001-03-30,4601.655396
2001-04-30,4725.201641
2001-05-31,4670.336117
2001-06-29,4477.052128
2001-07-31,4433.87468
2001-08-31,4429.637137
2001-09-28,4225.197054
2001-10-31,4221.508186
2001-11-30,4313.432874
2001-12-31,4400.501734
2002-01-31,4156.264724
2002-02-28,4276.275917
2002-03-29,4553.755978
2002-04-30,4684.798472
2002-05-31,4866.947818
2002-06-28,4673.94403
2002-07-31,4112.068059
2002-08-30,4106.560304
2002-09-30,3838.026022
2002-10-31,3968.278445
2002-11-29,4067.542715
2002-12-31,3962.326703
2003-01-31,3826.957625
2003-02-28,3624.310831
2003-03-31,3609.931241
2003-04-30,4036.014217
2003-05-30,4287.145704
2003-06-30,4282.891801
2003-07-31,4451.609633
2003-08-29,4410.973112
2003-09-30,4603.111422
2003-10-31,4705.327395
2003-11-28,4956.298391
2003-12-31,5349.206303
2004-01-30,5488.945914
2004-02-27,5524.895325
2004-03-31,5387.999591
2004-04-30,5477.999827
2004-05-31,5523.690887
2004-06-30,5525.821754
2004-07-30,5338.066491
2004-08-31,5274.171651
2004-09-30,5407.524469
2004-10-29,5508.957118
2004-11-30,5913.998501
2004-12-31,6183.942806
2005-01-31,5992.658539
2005-02-28,6331.520781
2005-03-31,6180.346812
2005-04-29,6177.341422
2005-05-31,6186.502944
2005-06-30,6145.004063
2005-07-29,6476.787536
2005-08-31,6530.67363
2005-09-30,6751.629463
2005-10-31,6851.558657
2005-11-30,7090.088951
2005-12-30,7243.493434
2006-01-31,7681.408941
2006-02-28,7579.495042
2006-03-31,7771.260924
2006-04-28,8271.713119
2006-05-31,8024.44656
2006-06-30,8011.650336
2006-07-31,8264.536891
2006-08-31,8485.740825
2006-09-29,8612.949017
2006-10-31,8843.221356
2006-11-30,9125.849835
2006-12-29,9288.666196
2007-01-31,9462.444325
2007-02-28,9277.332622
2007-03-30,9534.860331
2007-04-30,10248.065265
2007-05-31,10143.033492
2007-06-29,9888.177296
2007-07-31,9724.949048
2007-08-31,9672.278611
2007-09-28,10045.308624
2007-10-31,10238.323823
2007-11-30,10251.784288
2007-12-31,9851.601511
2008-01-31,9298.461313
2008-02-29,9524.142799
2008-03-31,9672.525192
2008-04-30,9716.139077
2008-05-30,9702.186056
2008-06-30,9179.389847
2008-07-31,9130.482172
2008-08-29,8864.275906
2008-09-30,7966.718656
2008-10-31,6989.456069
2008-11-28,6354.136997
2008-12-31,6905.924806
2009-01-30,6066.522924
2009-02-27,5422.045573
2009-03-31,5872.922619
2009-04-30,6328.026312
2009-05-29,6931.064216
2009-06-30,6865.414658
2009-07-31,7628.481703
2009-08-31,8125.156655
2009-09-30,8421.100071
2009-10-30,8460.947054
2009-11-30,8602.261154
2009-12-31,8743.586465
2010-01-29,8451.468612
2010-02-26,8610.590647
2010-03-31,9129.719118
2010-04-30,8698.084298
2010-05-31,7768.380141
2010-06-30,8100.148007
2010-07-30,8489.779889
2010-08-31,8701.421792
2010-09-30,9178.292891
