Date,Value
1998-12-31,4368.005251
1999-01-29,4315.540266
1999-02-26,4410.4817
1999-03-31,4568.195125
1999-04-30,4743.736127
1999-05-31,4478.477782
1999-06-30,4489.806728
1999-07-30,4551.932954
1999-08-31,4546.828416
1999-09-30,4469.902077
1999-10-29,4593.969151
1999-11-30,4648.384407
1999-12-31,4911.385279
2000-01-31,4453.95283
2000-02-29,4318.021381
2000-03-31,4644.215146
2000-04-28,4446.617115
2000-05-31,4292.756052
2000-06-30,4329.706799
2000-07-31,4354.69712
2000-08-31,4412.031615
2000-09-29,4286.987585
2000-10-31,4313.351508
2000-11-30,4058.942531
2000-12-29,4338.290216
2001-01-31,4266.841988
2001-02-28,3984.491591
2001-03-30,3804.623199
2001-04-30,4043.333334
2001-05-31,3908.827373
2001-06-29,3775.585142
2001-07-31,3779.321814
2001-08-31,3743.486038
2001-09-28,3497.203181
2001-10-31,3564.701174
2001-11-30,3642.40686
2001-12-31,3728.843776
2002-01-31,3571.652929
2002-02-28,3554.423149
2002-03-29,3718.9133
2002-04-30,3730.774511
2002-05-31,3669.778793
2002-06-28,3514.789137
2002-07-31,3278.181814
2002-08-30,3243.989429
2002-09-30,2908.198817
2002-10-31,3136.093847
2002-11-29,3230.482192
2002-12-31,3160.764174
2003-01-31,2937.850906
2003-02-28,2890.517493
2003-03-31,2887.721151
2003-04-30,3188.099035
2003-05-30,3383.795253
2003-06-30,3412.78995
2003-07-31,3434.061813
2003-08-29,3410.615548
2003-09-30,3531.194131
2003-10-31,3771.08005
2003-11-28,3883.079101
2003-12-31,4174.041033
2004-01-30,4161.312785
2004-02-27,4351.593163
2004-03-31,4249.560077
2004-04-30,4219.611105
2004-05-31,4311.659788
2004-06-30,4312.444294
2004-07-30,4269.551034
2004-08-31,4294.033503
2004-09-30,4432.156711
2004-10-29,4540.135508
2004-11-30,4833.762585
2004-12-31,4990.932877
2005-01-31,4955.198071
2005-02-28,5195.69398
2005-03-31,5058.488246
2005-04-29,5005.291068
2005-05-31,4957.899147
2005-06-30,5036.762674
2005-07-29,5102.939302
2005-08-31,5255.769489
2005-09-30,5348.646834
2005-10-31,5185.766413
2005-11-30,5209.150541
2005-12-30,5359.199577
2006-01-31,5678.619624
2006-02-28,5641.918706
2006-03-31,5803.712982
2006-04-28,6148.039021
2006-05-31,6029.860345
2006-06-30,6090.126063
2006-07-31,6229.628256
2006-08-31,6381.201608
2006-09-29,6349.198257
2006-10-31,6666.198361
2006-11-30,6829.162989
2006-12-29,7002.592556
2007-01-31,6991.664023
2007-02-28,6982.16719
2007-03-30,7213.818587
2007-04-30,7533.506585
2007-05-31,7662.132292
2007-06-29,7761.583835
2007-07-31,7567.209069
2007-08-31,7504.027702
2007-09-28,7775.065798
2007-10-31,8243.386071
2007-11-30,7800.150091
2007-12-31,7589.993522
2008-01-31,6912.165228
2008-02-29,6940.988889
2008-03-31,6791.794621
2008-04-30,7231.356929
2008-05-30,7188.592121
2008-06-30,6738.11706
2008-07-31,6461.851057
2008-08-29,6253.980722
2008-09-30,5325.424664
2008-10-31,4315.692284
2008-11-28,4038.324467
2008-12-31,3922.24924
2009-01-30,3678.291078
2009-02-27,3377.623554
2009-03-31,3503.353503
2009-04-30,3945.008321
2009-05-29,4492.221709
2009-06-30,4435.034014
2009-07-31,4846.03683
2009-08-31,5114.242374
2009-09-30,5256.779153
2009-10-30,5324.424687
2009-11-30,5479.247801
2009-12-31,5623.492732
2010-01-29,5352.885325
2010-02-26,5275.539246
2010-03-31,5590.272676
2010-04-30,5527.429551
2010-05-31,4926.280009
2010-06-30,4816.458717
2010-07-30,5400.988412
2010-08-31,5294.325355
2010-09-30,5769.209525
2010-10-29,5996.792348
2010-11-30,5702.252514
2010-12-31,6118.445477
2011-01-31,6239.192792
2011-02-28,6508.573575
2011-03-31,6350.079994
2011-04-29,6799.62333
2011-05-31,6651.900424
2011-06-30,6460.385851
2011-07-29,6464.75111
2011-08-31,5992.635817
2011-09-30,5466.267044
2011-10-31,6125.252452
2011-11-30,5959.91437
2011-12-30,5964.299906
2012-01-31,6174.878253
2012-02-29,6497.273715
2012-03-30,6419.802434
2012-04-30,6502.208867
2012-05-31,5756.929464
2012-06-29,6165.557204
2012-07-31,6237.718797
2012-08-31,6448.749611
2012-09-28,6600.80704
2012-10-31,6642.806124
2012-11-30,6737.711094
2012-12-31,6876.909784
2013-01-31,7143.172012
2013-02-28,6965.409095
2013-03-29,7048.241528
2013-04-30,7265.401676
2013-05-31,7275.002751
2013-06-28,6896.873118
2013-07-31,7351.31766
2013-08-30,7320.356745
2013-09-30,7728.186587
2013-10-31,7998.860945
2013-11-29,8080.288858
2013-12-31,8301.30604
2014-01-31,7944.727314
2014-02-28,8503.006334
2014-03-31,8233.285178
2014-04-30,8606.557897
2014-05-30,8677.096634
2014-06-30,8732.419648
2014-07-31,8622.079854
2014-08-29,8655.100522
2014-09-30,8204.186519
2014-10-31,8011.824656
2014-11-28,8074.48317
2014-12-31,7857.156443
