Date,Value
1998-12-31,3552.951548
1999-01-29,3705.292766
1999-02-26,3602.7214
1999-03-31,3753.447695
1999-04-30,3887.840112
1999-05-31,3798.118955
1999-06-30,4002.862087
1999-07-30,3872.099613
1999-08-31,3848.476216
1999-09-30,3734.740943
1999-10-29,3977.756327
1999-11-30,4064.081609
1999-12-31,4347.849845
2000-01-31,4113.878321
2000-02-29,4016.990079
2000-03-31,4418.596643
2000-04-28,4274.863515
2000-05-31,4163.258876
2000-06-30,4261.813382
2000-07-31,4185.000115
2000-08-31,4404.203825
2000-09-29,4163.809392
2000-10-31,4133.470483
2000-11-30,3808.30856
2000-12-29,3801.778294
2001-01-31,3940.798586
2001-02-28,3588.647479
2001-03-30,3359.8722
2001-04-30,3621.650306
2001-05-31,3643.444919
2001-06-29,3560.065208
2001-07-31,3526.865131
2001-08-31,3292.648091
2001-09-28,3040.926589
2001-10-31,3085.453104
2001-11-30,3323.251677
2001-12-31,3344.370165
2002-01-31,3297.208109
2002-02-28,3232.82748
2002-03-29,3353.375012
2002-04-30,3135.883801
2002-05-31,3112.559353
2002-06-28,2875.353659
2002-07-31,2668.649775
2002-08-30,2681.354265
2002-09-30,2378.786353
2002-10-31,2594.868887
2002-11-29,2751.064832
2002-12-31,2584.929465
2003-01-31,2522.505095
2003-02-28,2484.112405
2003-03-31,2507.245503
2003-04-30,2716.722131
2003-05-30,2862.490126
2003-06-30,2897.969518
2003-07-31,2951.784054
2003-08-29,3007.171139
2003-09-30,2972.456795
2003-10-31,3142.133383
2003-11-28,3172.554596
2003-12-31,3337.410118
2004-01-30,3397.873763
2004-02-27,3439.102069
2004-03-31,3384.481392
2004-04-30,3332.517213
2004-05-31,3376.845987
2004-06-30,3440.638944
2004-07-30,3323.490488
2004-08-31,3340.50697
2004-09-30,3377.186562
2004-10-29,3428.833117
2004-11-30,3569.833283
2004-12-31,3694.969546
2005-01-31,3603.493714
2005-02-28,3678.646498
2005-03-31,3619.893537
2005-04-29,3554.490123
2005-05-31,3670.689947
2005-06-30,3679.88866
2005-07-29,3818.157013
2005-08-31,3782.703442
2005-09-30,3815.11651
2005-10-31,3752.529325
2005-11-30,3904.158429
2005-12-30,3906.350514
2006-01-31,4012.972743
2006-02-28,4017.044934
2006-03-31,4068.565764
2006-04-28,4122.200844
2006-05-31,4000.222403
2006-06-30,4004.708791
2006-07-31,4018.081355
2006-08-31,4115.145485
2006-09-29,4219.909428
2006-10-31,4364.117706
2006-11-30,4450.718819
2006-12-29,4504.774211
2007-01-31,4586.412592
2007-02-28,4502.527598
2007-03-30,4551.225961
2007-04-30,4746.318237
2007-05-31,4912.532222
2007-06-29,4830.392818
2007-07-31,4680.877256
2007-08-31,4751.955901
2007-09-28,4932.330207
2007-10-31,5015.452056
2007-11-30,4803.743221
2007-12-31,4776.314736
2008-01-31,4486.43931
2008-02-29,4346.959816
2008-03-31,4330.946247
2008-04-30,4545.319445
2008-05-30,4617.844541
2008-06-30,4241.462994
2008-07-31,4192.953929
2008-08-29,4250.383169
2008-09-30,3860.51375
2008-10-31,3200.304346
2008-11-28,2964.169554
2008-12-31,3002.603529
2009-01-30,2757.991817
2009-02-27,2475.325632
2009-03-31,2687.433533
2009-04-30,2945.474684
2009-05-29,3107.532247
2009-06-30,3114.564862
2009-07-31,3349.331399
2009-08-31,3465.820047
2009-09-30,3600.257456
2009-10-30,3530.52026
2009-11-30,3740.563368
2009-12-31,3817.616786
2010-01-29,3683.695187
2010-02-26,3797.381279
2010-03-31,4024.788587
2010-04-30,4089.278776
2010-05-31,3759.572191
2010-06-30,3559.653314
2010-07-30,3808.43557
2010-08-31,3639.267676
2010-09-30,3970.137997
2010-10-29,4126.484059
2010-11-30,4131.083858
2010-12-31,4407.358536
2011-01-31,4513.030602
2011-02-28,4664.336935
2011-03-31,4669.889238
2011-04-29,4812.786176
2011-05-31,4760.617013
2011-06-30,4679.896685
2011-07-29,4588.743599
2011-08-31,4334.932232
2011-09-30,4023.146595
2011-10-31,4465.154147
2011-11-30,4452.910483
2011-12-30,4495.070083
2012-01-31,4706.759352
2012-02-29,4914.135992
2012-03-30,5071.499788
2012-04-30,5040.928339
2012-05-31,4731.22018
2012-06-29,4918.302088
2012-07-31,4984.978011
2012-08-31,5101.984114
2012-09-28,5232.080998
2012-10-31,5137.660323
2012-11-30,5171.124152
2012-12-31,5220.280171
2013-01-31,5496.520731
2013-02-28,5567.151638
2013-03-29,5776.560814
2013-04-30,5890.806352
2013-05-31,6014.937855
