Date,Value
1998-12-31,2977.022915
1999-01-29,3040.500456
1999-02-26,2959.199746
1999-03-31,3085.7245
1999-04-30,3207.631148
1999-05-31,3093.919441
1999-06-30,3240.194807
1999-07-30,3229.584756
1999-08-31,3225.044439
1999-09-30,3194.332608
1999-10-29,3358.70994
1999-11-30,3453.111813
1999-12-31,3731.987352
2000-01-31,3516.599208
2000-02-29,3526.214337
2000-03-31,3772.658992
2000-04-28,3614.228888
2000-05-31,3526.456578
2000-06-30,3645.845289
2000-07-31,3542.467903
2000-08-31,3659.163424
2000-09-29,3464.49327
2000-10-31,3405.299737
2000-11-30,3198.647437
2000-12-29,3249.513038
2001-01-31,3312.625898
2001-02-28,3033.040276
2001-03-30,2834.396792
2001-04-30,3044.611002
2001-05-31,3006.795751
2001-06-29,2913.015779
2001-07-31,2874.656129
2001-08-31,2737.232738
2001-09-28,2496.400504
2001-10-31,2544.47051
2001-11-30,2695.385315
2001-12-31,2712.658004
2002-01-31,2630.770456
2002-02-28,2608.413437
2002-03-29,2724.270407
2002-04-30,2632.751984
2002-05-31,2638.854837
2002-06-28,2479.285361
2002-07-31,2270.613464
2002-08-30,2275.334606
2002-09-30,2025.606348
2002-10-31,2175.474558
2002-11-29,2293.254456
2002-12-31,2182.570329
2003-01-31,2116.623607
2003-02-28,2080.382442
2003-03-31,2074.666153
2003-04-30,2259.956329
2003-05-30,2390.220118
2003-06-30,2432.4746
2003-07-31,2482.327782
2003-08-29,2536.553097
2003-09-30,2552.643003
2003-10-31,2704.633537
2003-11-28,2746.463629
2003-12-31,2919.44177
2004-01-30,2966.931861
2004-02-27,3017.675344
2004-03-31,2998.82999
2004-04-30,2939.075723
2004-05-31,2967.884134
2004-06-30,3030.093073
2004-07-30,2931.964193
2004-08-31,2946.022205
2004-09-30,3002.6955
2004-10-29,3076.904211
2004-11-30,3239.895069
2004-12-31,3364.558345
2005-01-31,3289.438908
2005-02-28,3395.133482
2005-03-31,3330.63462
2005-04-29,3260.390162
2005-05-31,3320.818075
2005-06-30,3351.01918
2005-07-29,3468.822784
2005-08-31,3496.581253
2005-09-30,3588.40956
2005-10-31,3502.062889
2005-11-30,3620.657193
2005-12-30,3701.794585
2006-01-31,3867.81377
2006-02-28,3863.679046
2006-03-31,3950.381312
2006-04-28,4072.426018
2006-05-31,3936.963505
2006-06-30,3937.43287
2006-07-31,3962.860777
2006-08-31,4067.753546
2006-09-29,4117.42896
2006-10-31,4269.390748
2006-11-30,4376.153465
2006-12-29,4466.298194
2007-01-31,4519.914584
2007-02-28,4498.257682
2007-03-30,4582.511727
2007-04-30,4787.379529
2007-05-31,4926.190984
2007-06-29,4889.921852
2007-07-31,4782.624196
2007-08-31,4781.075029
2007-09-28,5010.068913
2007-10-31,5164.824547
2007-11-30,4956.048845
2007-12-31,4893.542599
2008-01-31,4520.672214
2008-02-29,4496.69501
2008-03-31,4455.80466
2008-04-30,4693.577317
2008-05-30,4770.995512
2008-06-30,4392.17244
2008-07-31,4285.968826
2008-08-29,4227.702323
2008-09-30,3726.687575
2008-10-31,3021.073597
2008-11-28,2827.607531
2008-12-31,2919.782614
2009-01-30,2664.847172
2009-02-27,2393.873995
2009-03-31,2575.816373
2009-04-30,2867.371642
2009-05-29,3130.78568
2009-06-30,3117.982151
2009-07-31,3383.009336
2009-08-31,3524.075058
2009-09-30,3665.755558
2009-10-30,3601.322067
2009-11-30,3750.306086
2009-12-31,3818.859038
2010-01-29,3661.751978
2010-02-26,3714.830292
2010-03-31,3946.960009
2010-04-30,3949.717839
2010-05-31,3575.136513
2010-06-30,3453.891084
2010-07-30,3734.815772
2010-08-31,3596.902173
2010-09-30,3933.681227
2010-10-29,4081.18627
2010-11-30,3994.994271
2010-12-31,4290.045368
2011-01-31,4387.969544
2011-02-28,4543.546134
2011-03-31,4500.825242
2011-04-29,4694.883908
2011-05-31,4602.240757
2011-06-30,4531.207531
2011-07-29,4450.249251
2011-08-31,4138.562322
2011-09-30,3782.757039
2011-10-31,4175.102956
2011-11-30,4075.560085
2011-12-30,4074.833677
2012-01-31,4280.520734
2012-02-29,4491.978708
2012-03-30,4552.201557
2012-04-30,4503.679588
2012-05-31,4119.206386
2012-06-29,4331.155403
2012-07-31,4388.035805
2012-08-31,4501.500939
2012-09-28,4627.184251
2012-10-31,4597.231193
2012-11-30,4658.581487
2012-12-31,4748.698511
2013-01-31,4992.061167
2013-02-28,5002.798508
2013-03-29,5122.563061
2013-04-30,5287.524128
2013-05-31,5294.214565
2013-06-28,5165.877084
2013-07-31,5439.34652
2013-08-30,5325.887115
2013-09-30,5594.335573
2013-10-31,5814.648991
2013-11-29,5920.682817
2013-12-31,6048.181012
2014-01-31,5825.526876
2014-02-28,6120.253606
2014-03-31,6132.591574
2014-04-30,6198.797954
2014-05-30,6326.600987
2014-06-30,6442.500674
2014-07-31,6341.234415
2014-08-29,6483.570232
2014-09-30,6310.268156
2014-10-31,6352.598337
2014-11-28,6482.900453
2014-12-31,6381.054489
2015-01-30,6266.933709
2015-02-27,6637.222188
2015-03-31,6537.618526
2015-04-30,6694.313819
2015-05-29,6723.059942
2015-06-30,6569.46635
2015-07-31,6689.575637
2015-08-31,6249.64635
2015-09-30,6021.954302
2015-10-30,6500.909759
2015-11-30,6471.71718
2015-12-31,6360.574954
2016-01-29,5981.67427
2016-02-29,5940.800331
2016-03-31,6348.294514
2016-04-29,6452.776567
2016-05-31,6494.942746
2016-06-30,6425.279863
2016-07-29,6698.465937
2016-08-31,6707.420309
2016-09-30,6746.076641
2016-10-31,6617.258395
2016-11-30,6716.016518
2016-12-30,6879.162363
2017-01-31,7046.796149
2017-02-28,7245.762912
2017-03-31,7328.13507
2017-04-28,7440.259608
2017-05-31,7604.861196
2017-06-30,7637.015307
2017-07-31,7822.146969
2017-08-31,7837.107664
2017-09-29,8016.091279
2017-10-31,8169.600974
2017-11-30,8350.801848
2017-12-29,8466.344501
2018-01-31,8915.277691
2018-02-28,8549.698834
2018-03-30,8368.878782
2018-04-30,8470.212767
2018-05-31,8531.326869
2018-06-29,8530.353984
2018-07-31,8798.941068
2018-08-31,8911.933486
2018-09-28,8965.287627
2018-10-31,8309.110332
2018-11-30,8407.844611
2018-12-31,7771.710261
2019-01-31,8379.028953
2019-02-28,8635.203361
2019-03-29,8754.488883
2019-04-30,9069.951224
2019-05-31,8554.772217
2019-06-28,9122.090094
2019-07-31,9169.81569
2019-08-30,8986.643663
2019-09-30,9182.16764
2019-10-31,9418.381319
2019-11-29,9685.175388
2019-12-31,9979.03366
2020-01-31,9921.108777
2020-02-28,9086.788157
2020-03-31,7890.18073
2020-04-30,8756.464871
2020-05-29,9185.249174
2020-06-30,9432.107145
2020-07-31,9886.493432
2020-08-31,10550.971824
2020-09-30,10191.07874
2020-10-30,9881.075667
2020-11-30,11148.599773
2020-12-31,11625.198749
2021-01-29,11512.425105
2021-02-26,11811.310416
2021-03-31,12211.116272
2021-04-30,12784.973299
2021-05-31,12976.577906
2021-06-30,13174.250989
2021-07-30,13413.449833
2021-08-31,13751.460508
2021-09-30,13186.526695
2021-10-29,13936.992021
2021-11-30,13636.233449
2021-12-31,14223.136794
2022-01-31,13473.4354
2022-02-28,13137.03442
2022-03-31,13505.741311
2022-04-29,12389.188861
2022-05-31,12408.089771
2022-06-30,11337.723549
2022-07-29,12241.139674
2022-08-31,11734.160889
2022-09-30,10648.162536
2022-10-31,11415.734483
2022-11-30,12215.105868
2022-12-30,11700.992418
2023-01-31,12532.085435
2023-02-28,12235.685754
2023-03-31,12622.659609
2023-04-28,12850.378508
2023-05-31,12731.907782
2023-06-30,13506.744492
2023-07-31,13963.885805
2023-08-31,13636.081474
2023-09-29,13052.604114
2023-10-31,12676.970282
2023-11-30,13871.961001
2023-12-29,14557.826422
2024-01-31,14735.888914
2024-02-29,15366.381971
2024-03-29,15868.8896
2024-04-30,15286.59151
2024-05-31,15979.455491
2024-06-28,16309.886618
2024-07-31,16601.012475
2024-08-30,17045.470265
2024-09-30,17364.011736
2024-10-31,17023.445476
2024-11-29,17810.63517
2024-12-31,17352.115351
2025-01-31,17968.349835
